Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_49_96_25_82_84_50_34_40_79_33_50_26_46_73_71_85_85_62_8_94_40_21_30_62_11_79_17_43_39_94_29_90_23_64_79_28_10_70_0_68_34_32_2_46_48_26_42_90_91_54_46_76_20_13_51_41_7_6_78_59_87_89_95_78_69_78_84_25_12_23_97_99_80_32_34_12_49_80_85_30_28_15_78_39_14_55_30_17_28_8_82_71_89_88_44_86_51_49_14,0,0.0,0.0
genes_6_7_28_57_81_50_93_40_62_33_50_78_43_73_72_3_85_58_79_16_40_20_33_62_11_79_17_42_35_40_26_90_30_64_43_31_18_70_7_67_61_83_2_41_100_26_37_90_91_54_34_74_20_7_51_67_40_6_78_37_80_60_95_76_69_94_55_3_82_37_100_99_86_32_1_28_2_15_91_30_26_12_79_86_14_51_90_17_21_9_82_73_95_88_45_84_53_53_99,0,0.0,0.0
genes_51_8_25_57_84_50_6_20_57_67_70_77_68_72_74_85_41_49_81_20_27_16_30_90_28_80_68_23_37_94_27_49_61_63_22_61_49_43_32_80_18_79_2_41_100_26_34_90_90_17_50_79_20_54_14_56_40_6_81_37_97_82_93_78_10_94_54_4_17_21_97_38_78_32_16_8_49_73_62_29_25_12_78_40_14_95_93_18_24_6_99_86_89_97_81_80_53_55_99,0,0.0,0.0
genes_6_12_25_82_45_26_66_22_57_33_72_83_47_72_73_0_85_64_8_100_40_18_68_89_12_75_26_21_34_98_27_90_66_59_52_57_45_40_33_68_13_29_33_42_68_26_83_92_92_59_38_74_18_54_12_59_40_15_72_36_97_86_98_78_36_94_89_3_13_21_90_32_78_32_16_35_7_85_48_89_29_12_78_35_14_11_91_17_26_24_100_72_92_94_43_80_54_55_11,0,0.0,0.0
genes_51_7_22_54_84_50_93_36_62_67_72_79_48_71_70_0_85_58_79_98_40_16_33_62_11_79_21_42_39_40_30_85_51_60_43_32_10_70_0_67_66_73_2_65_33_26_42_47_91_54_41_79_20_13_51_64_61_6_78_10_80_60_93_78_70_97_55_3_82_37_97_99_78_32_34_28_2_15_86_30_28_12_78_40_16_6_89_17_21_9_82_70_97_88_45_86_53_53_9,0,0.0,0.0
genes_51_8_25_57_84_50_65_20_79_67_75_79_50_73_76_0_41_56_5_98_27_21_30_90_11_80_70_43_39_94_30_90_51_64_22_28_49_65_7_67_39_73_2_65_33_26_38_63_93_52_41_79_20_13_14_41_40_6_82_10_97_80_93_79_15_38_89_0_82_32_97_38_78_32_36_12_12_85_85_30_28_15_78_33_14_95_90_18_42_9_99_70_95_88_45_80_53_53_8,0,0.0,0.0
genes_6_96_25_95_81_50_6_40_67_33_50_78_43_73_71_85_85_54_81_16_40_16_33_62_11_80_17_43_39_40_26_46_28_64_22_31_19_70_3_67_66_32_5_44_100_26_41_85_91_54_50_74_20_54_51_64_40_3_78_37_80_89_95_71_69_79_55_25_7_36_100_94_86_32_5_28_2_15_86_27_26_8_79_39_14_51_90_17_20_5_60_71_95_88_45_80_53_49_99,0,0.0,0.0
genes_1_7_25_82_13_26_66_22_79_67_72_83_41_81_70_0_85_58_8_100_27_11_68_12_11_75_70_21_39_94_25_90_28_64_80_31_45_40_33_68_18_73_23_65_72_68_38_47_96_59_85_79_20_54_53_41_3_15_72_8_99_88_98_75_70_38_94_0_82_37_97_33_78_32_34_34_7_75_49_30_31_19_78_35_14_11_90_17_28_4_100_4_97_88_48_86_54_53_11,0,0.0,0.0
genes_21_8_22_82_83_50_61_40_79_67_72_79_67_72_39_90_41_56_5_16_27_18_30_49_11_80_70_43_37_94_29_90_51_64_79_28_49_11_7_67_18_77_2_65_100_21_38_90_96_50_50_79_20_13_14_37_40_40_82_37_97_88_93_78_32_94_60_4_82_37_97_100_81_32_16_8_11_85_85_29_28_12_99_33_14_6_21_17_18_4_93_70_95_88_79_86_51_2_99,0,0.0,0.0
genes_17_7_23_82_49_50_50_20_79_67_72_75_76_73_69_0_83_49_5_93_40_21_32_90_16_85_70_43_39_44_26_26_51_64_79_28_10_72_32_67_34_73_2_65_33_26_38_47_96_49_41_79_20_13_15_42_40_10_78_10_84_86_93_68_32_94_60_27_82_37_90_34_34_87_1_30_3_56_85_84_28_15_74_40_14_90_21_17_28_9_93_72_95_88_45_86_51_53_8,0,0.0,0.0
