AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.0,True,14.0,14.0,67.84023377121792,537.3984794607499
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.0,False,28.625,25.5,81.11615659323124,549.9989426787084
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.1,True,16.0,16.0,133.95841409665917,528.8674839673979
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.1,False,29.4375,21.75,64.04895350067399,547.6999026585725
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.2,True,17.0,17.0,27.358417668850365,554.5326838597023
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.2,False,28.875,24.5,106.66554169555602,536.7379997555238
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.3,True,15.0,15.0,41.138393978599474,563.5916052067901
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.3,False,29.5,21.5,84.78970948532401,552.3031846403883
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.4,True,15.0,15.0,45.2532545351056,561.0942517537151
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.4,False,29.625,21.5,59.1759981064359,538.5854485705536
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.5,True,16.0,16.0,43.26939315888742,548.155350851489
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.5,False,29.125,23.5,79.58504005937218,545.1555389669073
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.6,True,18.0,18.0,38.25927245990948,558.5779882579013
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.6,False,29.125,23.5,51.148639295970206,545.0760854943201
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.7,True,17.0,17.0,96.43701087691552,541.3411222215269
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.7,False,29.6875,20.75,37.748466306377395,565.251727640558
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.8,True,14.0,14.0,58.779890018235236,550.5353107806387
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.8,False,29.0,23.75,42.85782757193248,564.899617143707
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.9,True,13.0,13.0,62.15094408573907,543.6304077422487
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,0.9,False,29.75,17.25,75.33083087670201,557.7895536778271
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,1.0,True,17.0,17.0,177.20853444565606,521.1172911664626
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",SelfPlay,1.0,False,29.5,22.0,93.80562537763674,540.4391901050969
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.0,True,15.625,17.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.0,False,60.9375,82.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.1,True,18.0,18.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.1,False,62.4375,78.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.2,True,17.375,20.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.2,False,57.4375,63.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.3,True,16.75,18.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.3,False,62.625,74.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.4,True,18.625,20.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.4,False,58.9375,69.25,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.5,True,19.3125,22.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.5,False,61.625,84.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.6,True,17.625,19.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.6,False,61.875,79.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.7,True,17.625,19.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.7,False,60.0,82.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.8,True,13.0,13.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.8,False,58.375,65.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.9,True,16.0,16.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,0.9,False,60.25,70.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,1.0,True,18.0,18.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2NewKitties,1.0,False,60.375,72.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.0,True,19.375,22.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.0,False,58.6875,52.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.1,True,18.5,21.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.1,False,58.8125,61.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.2,True,17.875,18.5,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.2,False,58.0625,66.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.3,True,19.0,19.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.3,False,61.5625,72.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.4,True,22.75,29.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.4,False,60.9375,77.75,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.5,True,20.5,23.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.5,False,63.75,78.25,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.6,True,16.75,18.0,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.6,False,62.3125,75.25,NAN,NAN
heterogenousCatKillers.csv,"['S', 30]",2OldKitties,0.7,True,17.75,19.0,NAN,NAN
