Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_43_64_94_32_9_4_95_6_8_59_94_99_96_72_75_5_87_76_17_31_51_70_45_84_18_65_7_43_66_94_33_6_76_59_3_86_12_68_68_95_17_55_67_67_77_30_82_6_61_56_92_99_86_75_53_100_81_14_72_66_31_22_31_67_21_0_85_30_49_43_52_75_1_28_51_35_24_76_51_56_76_64_3_9_38_99_19_32_7_40_82_89_39_74_45_74_57_46_97,1,0.0,5.0
genes_31_59_0_32_15_84_3_43_95_59_58_94_8_73_83_5_25_30_86_26_80_82_31_95_15_33_40_6_66_40_100_9_76_25_38_100_79_57_56_14_82_55_74_85_79_21_77_10_97_56_6_86_89_95_84_83_4_16_96_94_31_19_33_67_67_48_12_26_48_10_79_64_72_31_42_5_100_18_50_28_60_57_3_9_58_100_19_40_67_55_85_6_39_53_45_74_23_69_97,1,0.0,5.0
genes_40_13_10_30_45_17_35_85_24_41_95_34_67_82_100_0_63_75_93_67_41_19_57_45_62_61_28_91_96_93_31_24_25_58_95_71_15_37_84_9_23_100_86_85_31_43_82_6_95_73_92_75_96_51_3_83_9_89_58_67_35_23_15_41_20_10_13_76_49_62_83_63_9_39_27_87_72_20_36_41_83_91_70_48_61_46_86_42_39_90_81_54_5_84_3_49_6_26_38,1,0.0,5.0
genes_31_98_1_45_90_4_95_85_0_14_63_32_52_76_22_5_85_74_99_88_33_51_57_59_43_33_53_46_66_93_31_61_71_62_36_60_42_84_15_8_13_37_40_31_1_59_7_60_68_94_25_6_28_95_83_52_18_94_47_89_47_39_27_48_76_52_14_34_43_11_45_18_80_76_32_87_59_93_32_54_2_55_91_42_27_13_54_63_37_56_92_66_32_57_18_14_73_100_100,4,0.0,5.0
genes_34_7_41_9_14_80_73_79_95_32_94_50_61_70_37_58_92_73_52_82_85_23_20_69_49_26_95_43_91_41_71_48_25_60_38_100_42_36_37_34_13_52_81_88_21_70_83_1_11_54_63_45_30_93_55_85_85_65_63_66_5_43_2_75_51_5_100_15_44_3_37_14_60_22_100_39_8_75_18_61_27_37_82_72_61_63_88_38_22_87_85_20_65_99_82_35_78_70_99,2,0.0,5.0
genes_35_54_1_14_90_4_76_71_24_49_20_26_69_70_22_4_86_74_99_28_85_51_50_72_15_34_10_83_66_93_60_48_75_23_100_90_9_64_3_8_18_40_40_31_87_31_68_6_34_94_66_68_28_11_10_85_55_94_47_63_44_43_49_48_74_7_14_38_24_100_45_18_3_76_27_25_64_69_24_24_2_55_23_47_30_24_54_42_37_42_67_36_3_84_30_17_26_45_38,1,0.0,5.0
genes_57_64_4_20_8_27_74_43_7_59_58_35_57_76_95_3_95_72_14_31_34_82_57_64_18_33_53_43_30_41_31_6_7_65_36_60_79_60_16_19_0_79_76_67_53_65_7_6_33_99_6_67_55_95_83_0_81_75_46_80_27_39_40_67_74_65_85_34_27_11_59_4_71_47_23_87_83_91_27_48_76_64_3_9_27_99_19_70_7_56_88_98_32_74_18_29_57_46_97,1,0.0,5.0
genes_77_6_49_39_50_73_0_34_0_22_73_27_72_19_93_14_91_73_58_87_80_96_23_80_48_48_24_43_67_89_71_7_76_20_33_74_23_68_80_14_10_46_29_91_72_94_69_6_100_44_9_44_20_14_12_56_83_27_51_8_30_39_86_97_84_2_18_47_8_94_79_62_78_39_100_40_75_58_6_56_60_28_86_9_5_40_61_42_14_42_80_89_30_95_73_46_63_72_26,4,0.0,5.0
genes_53_95_27_36_15_80_77_71_92_41_62_29_43_73_26_40_81_24_91_59_86_22_48_79_44_33_22_39_44_82_45_92_73_58_33_8_37_64_16_17_13_50_88_40_80_91_67_81_34_63_66_89_89_11_82_51_66_70_57_97_99_23_28_73_67_0_14_48_79_62_79_42_56_48_96_90_79_64_27_53_47_10_84_22_74_24_95_100_11_88_64_6_29_52_31_28_7_71_21,2,0.0,5.0
genes_90_59_0_13_8_2_28_98_0_41_57_24_87_94_83_71_91_27_91_88_80_82_69_38_48_33_8_6_96_90_45_18_77_25_38_100_35_79_48_12_13_43_100_88_29_53_82_97_16_56_59_51_92_95_81_37_76_16_96_66_55_21_30_86_21_36_9_54_48_6_32_2_36_49_39_94_27_18_56_10_60_57_94_65_43_42_98_23_67_36_85_51_30_10_30_30_26_69_83,1,0.0,5.0
