Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_1_69_46_56_19_91_82_97_100_22_27_65_100_15_44_5_98_66_59_88_34_66_69_2_12_57_42_66_43_37_39_53_91_34_84_96_58_80_20_92_2_73_63_21_20_73_22_4_41_17_63_67_59_58_18_94_8_4_60_48_97_45_35_100_16_22_59_55_36_1_62_46_21_78_31_89_78_73_46_0_11_91_37_51_22_67_91_54_96_16_77_57_87_52_64_72_10_53_43,2,0.0357,10.0
genes_67_63_70_57_50_92_82_95_36_32_36_99_96_38_83_80_99_88_61_37_10_83_59_13_22_24_90_43_42_66_99_45_91_22_1_93_84_39_41_16_0_33_69_19_22_18_73_7_43_54_60_65_60_66_69_77_14_0_96_75_7_49_34_89_8_88_22_23_50_0_1_75_21_55_38_83_19_15_6_2_53_98_47_44_59_10_71_33_74_94_63_56_1_36_6_50_6_78_69,3,0.0368,9.6667
genes_16_89_72_0_19_100_37_18_65_64_47_69_100_29_44_55_98_29_47_80_60_39_59_2_14_57_97_66_60_37_63_90_99_15_83_95_4_78_98_49_2_99_43_87_19_73_16_61_41_37_63_66_56_87_71_82_12_7_95_80_97_48_21_100_10_54_62_4_34_11_71_39_79_13_34_88_78_73_46_16_18_42_43_18_29_10_8_21_17_93_81_99_99_52_0_79_31_53_87,2,0.0321,9.5
genes_70_69_66_2_80_43_35_94_89_4_72_90_96_15_95_97_92_17_56_31_52_87_72_13_52_42_92_38_31_27_11_38_91_31_35_100_78_100_71_31_0_33_61_46_22_15_70_48_23_11_69_88_64_82_73_90_83_0_100_44_100_55_34_20_16_53_69_28_68_43_15_33_58_5_72_88_34_79_64_34_53_100_59_13_77_96_70_15_9_50_15_52_0_52_28_21_70_80_69,2,0.0667,9.0
genes_0_63_71_58_27_43_77_38_89_32_67_88_96_32_83_47_75_88_61_83_52_47_30_10_52_24_69_36_53_20_7_34_88_29_50_36_84_76_76_79_0_100_86_19_22_22_20_3_41_54_43_65_60_63_67_99_19_5_97_78_9_57_21_20_22_53_3_22_32_10_10_19_90_33_38_62_19_51_15_2_53_95_37_44_56_86_70_33_96_90_63_56_0_36_55_17_3_53_69,2,0.0383,8.5
genes_0_69_69_56_81_26_76_38_65_22_27_64_100_29_71_5_0_19_47_77_34_83_69_15_12_56_31_65_43_32_39_36_48_31_84_11_67_55_49_42_0_100_63_26_57_22_22_45_41_17_82_67_83_82_17_90_38_4_93_76_16_41_87_56_8_51_5_23_75_10_67_33_94_69_43_60_100_85_9_0_53_8_37_17_45_17_26_88_96_94_81_56_3_26_0_67_8_53_95,2,0.0188,7.5
genes_23_68_75_0_44_27_57_8_46_22_47_72_89_29_84_63_58_9_47_82_37_51_57_19_14_45_89_98_45_53_80_95_50_34_81_89_0_63_46_44_32_75_33_73_19_4_16_58_34_13_49_64_94_38_14_8_5_4_65_76_5_55_21_40_20_93_24_5_10_90_76_12_93_33_38_85_47_88_19_3_15_2_41_18_42_86_71_88_74_86_23_27_32_32_30_54_3_73_92,1,0.0,5.0
genes_78_57_89_65_48_19_75_94_89_18_71_65_89_30_95_47_71_2_64_26_52_83_73_6_20_39_92_65_81_36_68_58_91_52_35_65_0_82_81_26_0_4_86_42_22_20_87_3_23_15_51_62_82_42_71_10_83_0_100_47_23_55_21_100_8_53_5_87_49_43_92_33_21_97_72_60_19_32_64_34_53_92_39_8_31_96_22_16_17_34_66_52_0_52_0_21_34_70_2,1,0.0,5.0
genes_69_60_66_0_23_59_4_32_11_88_35_22_98_63_51_18_60_17_61_85_76_51_67_13_70_19_96_69_42_33_46_53_10_21_24_57_15_100_44_44_64_32_58_21_25_12_70_66_37_1_51_71_64_71_75_78_100_0_98_71_16_85_23_46_10_61_66_13_77_13_72_32_56_5_44_85_100_94_14_2_11_42_77_15_54_10_50_44_98_5_42_39_47_72_0_77_8_44_91,2,0.0,5.0
genes_19_57_89_16_48_59_74_9_89_51_82_91_97_29_51_47_14_14_64_26_49_15_76_7_20_46_93_65_42_27_94_90_15_23_48_60_73_99_43_47_47_19_43_92_19_17_78_3_27_15_51_68_62_42_61_78_71_0_70_48_18_77_13_94_67_20_71_87_70_19_5_0_21_16_37_89_10_90_53_2_54_35_39_8_23_15_88_9_17_86_12_28_6_71_0_19_31_71_94,1,0.0,5.0
